Datasets,Layer,Batch,Epoch,Seed,Accuracy,std
MUTAG,2,32,20,123,0.8570175438596491,0.09380862507012132
MUTAG,2,32,20,132,0.8728070175438596,0.0626475209179005
MUTAG,2,32,20,321,0.8786549707602338,0.09980359290149837
MUTAG,2,32,20,312,0.8830409356725146,0.06122223311486501
MUTAG,2,32,20,231,0.8885964912280702,0.06494190883817402
MUTAG,2,32,40,123,0.8774853801169591,0.07119687906352476
MUTAG,2,32,40,132,0.8722222222222223,0.08962882624257648
MUTAG,2,32,40,321,0.883625730994152,0.05604280023724416
MUTAG,2,32,40,312,0.8663742690058479,0.08282702454311047
MUTAG,2,32,40,231,0.882456140350877,0.07838002773224095
MUTAG,2,32,100,123,0.8827485380116957,0.07861582973590936
MUTAG,2,32,100,132,0.8616959064327485,0.07233577738567605
MUTAG,2,32,100,321,0.8681286549707602,0.08541265501918847
MUTAG,2,32,100,312,0.8830409356725146,0.06173677313959279
MUTAG,2,32,100,231,0.8719298245614034,0.05480876965548528
MUTAG,2,64,20,123,0.8830409356725146,0.056516769255436555
MUTAG,2,64,20,132,0.8780701754385966,0.062055160900811736
MUTAG,2,64,20,321,0.8730994152046783,0.08821691215500854
MUTAG,2,64,20,312,0.8991228070175439,0.05478458581566921
MUTAG,2,64,20,231,0.8885964912280702,0.06494190883817402
MUTAG,2,64,40,123,0.8932748538011696,0.053585411513536005
MUTAG,2,64,40,132,0.8716374269005847,0.06086438343754228
MUTAG,2,64,40,321,0.883625730994152,0.05604280023724416
MUTAG,2,64,40,312,0.8982456140350876,0.07552468002023094
MUTAG,2,64,40,231,0.8883040935672513,0.079999487020003
MUTAG,2,64,100,123,0.8827485380116957,0.07500954648954274
MUTAG,2,64,100,132,0.8722222222222221,0.05894623710972322
MUTAG,2,64,100,321,0.8628654970760234,0.08523228810895604
MUTAG,2,64,100,312,0.8883040935672515,0.06468269816163491
MUTAG,2,64,100,231,0.8558479532163743,0.08033276522376338
MUTAG,2,128,20,123,0.8885964912280702,0.059471844118118206
MUTAG,2,128,20,132,0.8780701754385966,0.062055160900811736
MUTAG,2,128,20,321,0.8786549707602338,0.10254157096781104
MUTAG,2,128,20,312,0.8728070175438598,0.08182172681905373
MUTAG,2,128,20,231,0.8885964912280702,0.06494190883817402
MUTAG,2,128,40,123,0.8769005847953215,0.06892712825841346
MUTAG,2,128,40,132,0.8769005847953217,0.06892712825841345
MUTAG,2,128,40,321,0.8830409356725145,0.05707374647936588
MUTAG,2,128,40,312,0.8982456140350876,0.07552468002023094
MUTAG,2,128,40,231,0.8883040935672513,0.079999487020003
MUTAG,2,128,100,123,0.8827485380116957,0.07122089190727858
MUTAG,2,128,100,132,0.8833333333333332,0.07039986044643265
MUTAG,2,128,100,321,0.8573099415204679,0.07757966237945721
MUTAG,2,128,100,312,0.8722222222222223,0.05894623710972322
MUTAG,2,128,100,231,0.8880116959064328,0.06995640769410012
MUTAG,2,256,20,123,0.8830409356725146,0.056516769255436555
MUTAG,2,256,20,132,0.8780701754385966,0.062055160900811736
MUTAG,2,256,20,321,0.8891812865497076,0.08613034565112429
MUTAG,2,256,20,312,0.8991228070175439,0.05478458581566921
MUTAG,2,256,20,231,0.8885964912280702,0.06494190883817402
MUTAG,2,256,40,123,0.882456140350877,0.0709605207584445
MUTAG,2,256,40,132,0.8722222222222223,0.060009945256041086
MUTAG,2,256,40,321,0.8672514619883043,0.04176683353372887
MUTAG,2,256,40,312,0.9035087719298245,0.0804385911768393
MUTAG,2,256,40,231,0.8880116959064328,0.07380999659911769
MUTAG,2,256,100,123,0.8880116959064326,0.06587778348551608
MUTAG,2,256,100,132,0.8883040935672515,0.06883217316028738
MUTAG,2,256,100,321,0.8836257309941521,0.06930256358842363
MUTAG,2,256,100,312,0.8883040935672515,0.05546005950656687
MUTAG,2,256,100,231,0.8774853801169591,0.07208002669688399
MUTAG,8,32,20,123,0.8833333333333334,0.08057081079482631
MUTAG,8,32,20,132,0.8783625730994151,0.08493837499586107
MUTAG,8,32,20,321,0.873391812865497,0.09451321885329955
MUTAG,8,32,20,312,0.8833333333333334,0.06949536452627508
MUTAG,8,32,20,231,0.862280701754386,0.12951896227263782
MUTAG,8,32,40,123,0.8722222222222223,0.04864797661155582
MUTAG,8,32,40,132,0.8716374269005847,0.0741151650673825
MUTAG,8,32,40,321,0.8616959064327485,0.06422173657721232
MUTAG,8,32,40,312,0.8874269005847953,0.09337745736230595
MUTAG,8,32,40,231,0.8777777777777777,0.09446571556308779
MUTAG,8,32,100,123,0.8035087719298245,0.07789860025893196
MUTAG,8,32,100,132,0.82046783625731,0.11023973490477826
MUTAG,8,32,100,321,
