Datasets,Layer,Batch,Epoch,Seed,Accuracy,std
MUTAG,2,32,20,123,0.8885964912280702,0.059471844118118206
MUTAG,2,32,20,132,0.8941520467836257,0.06229923124408667
MUTAG,2,32,20,321,0.8669590643274854,0.08655415272289872
MUTAG,2,32,20,312,0.9043859649122806,0.06130666269671837
MUTAG,2,32,20,231,0.8833333333333334,0.07423043157207028
MUTAG,2,32,40,123,0.8985380116959065,0.05081413717037971
MUTAG,2,32,40,132,0.8502923976608188,0.05941934875265747
MUTAG,2,32,40,321,0.8777777777777777,0.04770295557785523
MUTAG,2,32,40,312,0.8871345029239766,0.10356987656864407
MUTAG,2,32,40,231,0.8777777777777777,0.07844544801550395
MUTAG,2,32,100,123,0.8722222222222221,0.07254821425182631
MUTAG,2,32,100,132,0.8994152046783626,0.06802504482494864
MUTAG,2,32,100,321,0.873391812865497,0.08195536624295713
MUTAG,2,32,100,312,0.8935672514619883,0.058248079987255404
MUTAG,2,32,100,231,0.8824561403508773,0.06741399124758664
MUTAG,2,64,20,123,0.8885964912280702,0.059471844118118206
MUTAG,2,64,20,132,0.867251461988304,0.06719041215774235
MUTAG,2,64,20,321,0.883625730994152,0.0837789460540174
MUTAG,2,64,20,312,0.8991228070175439,0.05962690217924322
MUTAG,2,64,20,231,0.8885964912280702,0.06494190883817402
MUTAG,2,64,40,123,0.8932748538011696,0.053585411513536005
MUTAG,2,64,40,132,0.882748538011696,0.06721903616959742
MUTAG,2,64,40,321,0.8728070175438596,0.06692330309882648
MUTAG,2,64,40,312,0.8871345029239766,0.10356987656864407
MUTAG,2,64,40,231,0.8991228070175439,0.07953270123657386
MUTAG,2,64,100,123,0.8827485380116957,0.07122089190727858
MUTAG,2,64,100,132,0.8944444444444445,0.08789893886373297
MUTAG,2,64,100,321,0.8730994152046783,0.08501886243455556
MUTAG,2,64,100,312,0.8935672514619883,0.06282400371434725
MUTAG,2,64,100,231,0.8619883040935672,0.04204430284916653
MUTAG,2,128,20,123,0.8885964912280702,0.059471844118118206
MUTAG,2,128,20,132,0.872514619883041,0.058233400161425024
MUTAG,2,128,20,321,0.8839181286549707,0.09336646951684535
MUTAG,2,128,20,312,0.8885964912280702,0.06396027566629435
MUTAG,2,128,20,231,0.8885964912280702,0.06494190883817402
MUTAG,2,128,40,123,0.8932748538011696,0.053585411513536005
MUTAG,2,128,40,132,0.882748538011696,0.06721903616959742
MUTAG,2,128,40,321,0.8780701754385966,0.04678453946476111
MUTAG,2,128,40,312,0.8929824561403509,0.08089645130194424
MUTAG,2,128,40,231,0.8830409356725145,0.0776369476453319
MUTAG,2,128,100,123,0.8669590643274854,0.09273432263502066
MUTAG,2,128,100,132,0.8885964912280702,0.0794165180885112
MUTAG,2,128,100,321,0.8941520467836257,0.07018518450843275
MUTAG,2,128,100,312,0.8935672514619883,0.06282400371434725
MUTAG,2,128,100,231,0.8666666666666668,0.06025378653750294
MUTAG,2,256,20,123,0.8362573099415205,0.17331561494464198
MUTAG,2,256,20,132,0.872514619883041,0.058233400161425024
MUTAG,2,256,20,321,0.8783625730994151,0.09122807017543859
MUTAG,2,256,20,312,0.893859649122807,0.05741799695153967
MUTAG,2,256,20,231,0.8728070175438596,0.08259134119197481
MUTAG,2,256,40,123,0.8722222222222221,0.08793394790180883
MUTAG,2,256,40,132,0.882748538011696,0.06721903616959742
MUTAG,2,256,40,321,0.8885964912280702,0.06052631578947368
MUTAG,2,256,40,312,0.876608187134503,0.10225393274795166
MUTAG,2,256,40,231,0.8827485380116957,0.08855788246430316
MUTAG,2,256,100,123,0.8722222222222221,0.08793394790180883
MUTAG,2,256,100,132,0.8777777777777779,0.08190057957579878
MUTAG,2,256,100,321,0.8885964912280702,0.06052631578947368
MUTAG,2,256,100,312,0.8771929824561402,0.054215919790745394
MUTAG,2,256,100,231,0.8669590643274855,0.06455634461915566
MUTAG,8,32,20,123,0.893859649122807,0.07789036831611527
MUTAG,8,32,20,132,0.8994152046783626,0.059324307686133504
MUTAG,8,32,20,321,0.888888888888889,0.08910216027668709
MUTAG,8,32,20,312,0.8885964912280702,0.06396027566629435
MUTAG,8,32,20,231,0.893859649122807,0.05850949524790277
MUTAG,8,32,40,123,0.8932748538011696,0.0630827200433861
MUTAG,8,32,40,132,0.8774853801169591,0.059443085275981945
MUTAG,8,32,40,321,0.8777777777777779,0.05762237310057082
MUTAG,8,32,40,312,0.8871345029239766,0.10356987656864407
MUTAG,8,32,40,231,0.8883040935672513,0.079999487020003
MUTAG,8,32,100,123,0.8616959064327485,0.07233577738567604
MUTAG,8,32,100,132,0.8564327485380117,0.0889047577401736
MUTAG,8,32,100,321,0.8681286549707602,0.09464339120574002
MUTAG,8,32,100,312,0.8777777777777779,0.03416926586664689
MUTAG,8,32,100,231,0.8347953216374269,0.06516270644529172
MUTAG,8,64,20,123,0.8517543859649124,0.08022626683378603
MUTAG,8,64,20,132,0.8885964912280702,0.06052631578947367
MUTAG,8,64,20,321,0.8944444444444445,0.09399072664027817
MUTAG,8,64,20,312,0.8669590643274855,0.06871345029239766
MUTAG,8,64,20,231,0.8570175438596491,0.08523228810895603
MUTAG,8,64,40,123,0.9090643274853802,0.04890039457212519
MUTAG,8,64,40,132,0.8932748538011696,0.06407779824798575
MUTAG,8,64,40,321,0.8885964912280702,0.05461578180627956
MUTAG,8,64,40,312,0.8871345029239766,0.10356987656864407
MUTAG,8,64,40,231,0.9149122807017545,0.0752371625022354
MUTAG,8,64,100,123,0.8827485380116957,0.07500954648954275
MUTAG,8,64,100,132,0.8997076023391812,0.07591141100463136
MUTAG,8,64,100,321,0.873391812865497,0.08195536624295713
MUTAG,8,64,100,312,0.8883040935672515,0.08339025449033144
MUTAG,8,64,100,231,0.8669590643274855,0.055312642222099265
MUTAG,8,128,20,123,0.8833333333333334,0.0694953645262751
MUTAG,8,128,20,132,0.8678362573099415,0.07877173445839876
MUTAG,8,128,20,321,0.8786549707602338,0.09698835257673677
MUTAG,8,128,20,312,0.893859649122807,0.0663691164241641
MUTAG,8,128,20,231,0.8201754385964912,0.08852698332977348
MUTAG,8,128,40,123,0.8932748538011696,0.05852702749647902
MUTAG,8,128,40,132,0.882456140350877,0.07997810992878951
MUTAG,8,128,40,321,0.8941520467836257,0.06178937516665397
MUTAG,8,128,40,312,0.8660818713450291,0.1103606543392893
MUTAG,8,128,40,231,0.8666666666666666,0.08452467394468119
MUTAG,8,128,100,123,0.8935672514619881,0.06282400371434725
MUTAG,8,128,100,132,0.8839181286549707,0.06956422418563805
MUTAG,8,128,100,321,0.8517543859649124,0.08436115913630982
MUTAG,8,128,100,312,0.8935672514619883,0.058248079987255376
MUTAG,8,128,100,231,0.8406432748538013,0.1082049139808175
MUTAG,8,256,20,123,0.8345029239766083,0.10874834681150869
MUTAG,8,256,20,132,0.8730994152046783,0.08208201800203219
MUTAG,8,256,20,321,0.8944444444444445,0.08135226003236196
MUTAG,8,256,20,312,0.8570175438596491,0.07399971901672941
MUTAG,8,256,20,231,0.8517543859649124,0.093695544356803
MUTAG,8,256,40,123,0.8669590643274854,0.07053089799201823
MUTAG,8,256,40,132,0.8669590643274854,0.07989735985989553
MUTAG,8,256,40,321,0.8885964912280702,0.07297591907295814
MUTAG,8,256,40,312,0.8660818713450291,0.0742690058479532
MUTAG,8,256,40,231,0.86140350877193,0.07971470280250582
MUTAG,8,256,100,123,0.8669590643274854,0.07053089799201823
MUTAG,8,256,100,132,0.8669590643274854,0.07989735985989553
MUTAG,8,256,100,321,0.8885964912280702,0.07297591907295814
MUTAG,8,256,100,312,0.8660818713450291,0.0742690058479532
MUTAG,8,256,100,231,0.86140350877193,0.07971470280250582
MUTAG,12,32,20,123,0.8669590643274854,0.06356875781663388
MUTAG,12,32,20,132,0.8730994152046783,0.07079647228267394
MUTAG,12,32,20,321,0.8625730994152047,0.08850525091669781
MUTAG,12,32,20,312,0.8675438596491227,0.08843808818225536
MUTAG,12,32,20,231,0.8307017543859649,0.10729400585980624
MUTAG,12,32,40,123,0.882748538011696,0.04664544652308356
MUTAG,12,32,40,132,0.8605263157894736,0.08949518145602776
MUTAG,12,32,40,321,0.8888888888888887,0.05434193023333732
MUTAG,12,32,40,312,0.8769005847953215,0.0888855224047025
MUTAG,12,32,40,231,0.867251461988304,0.12513253464234736
MUTAG,12,32,100,123,0.8883040935672515,0.08117708983339841
MUTAG,12,32,100,132,0.8564327485380117,0.10059881923180518
MUTAG,12,32,100,321,0.8681286549707602,0.09464339120574002
MUTAG,12,32,100,312,0.8192982456140351,0.06021972239464795
MUTAG,12,32,100,231,0.8719298245614036,0.07268655338686224
MUTAG,12,64,20,123,0.862280701754386,0.07824519882056634
MUTAG,12,64,20,132,0.8289473684210525,0.08331281167240938
MUTAG,12,64,20,321,0.8786549707602338,0.09408891494246699
MUTAG,12,64,20,312,0.8359649122807017,0.08875075832567422
MUTAG,12,64,20,231,0.8780701754385964,0.06306645427374978
MUTAG,12,64,40,123,0.8883040935672515,0.05972074589999598
MUTAG,12,64,40,132,0.856140350877193,0.04807785826682359
MUTAG,12,64,40,321,0.8941520467836257,0.07018518450843272
MUTAG,12,64,40,312,0.876608187134503,0.10753557552465999
MUTAG,12,64,40,231,0.8614035087719298,0.11724526386907844
MUTAG,12,64,100,123,0.8722222222222221,0.09266791847301083
MUTAG,12,64,100,132,0.8669590643274854,0.05415675146602334
MUTAG,12,64,100,321,0.8523391812865497,0.0990296099676958
MUTAG,12,64,100,312,0.8830409356725146,0.04636139877304933
MUTAG,12,64,100,231,0.856140350877193,0.1259402583289641
MUTAG,12,128,20,123,0.872514619883041,0.06281039336653825
MUTAG,12,128,20,132,0.8131578947368421,0.09655721649315704
MUTAG,12,128,20,321,0.8625730994152047,0.10821874044414832
MUTAG,12,128,20,312,0.8350877192982458,0.06883714137806857
MUTAG,12,128,20,231,0.856140350877193,0.10041465278073113
MUTAG,12,128,40,123,0.8880116959064328,0.060492405111952544
MUTAG,12,128,40,132,0.8663742690058479,0.06941658413129506
MUTAG,12,128,40,321,0.8833333333333334,0.061004692029733444
MUTAG,12,128,40,312,0.8868421052631579,0.10634635977345154
MUTAG,12,128,40,231,0.8608187134502924,0.07434264434243644
MUTAG,12,128,100,123,0.877485380116959,0.07939498403312856
MUTAG,12,128,100,132,0.8614035087719298,0.08089645130194424
MUTAG,12,128,100,321,0.8564327485380117,0.05892302593087053
